suck,129
movies,129
coke,129
shed,129
bob,129
planet,129
snap,129
rhymes,129
plug,129
doom,129
sacrifice,128
tuesday,128
ray,128
madness,128
trace,128
sue,128
michael,128
treated,128
led,128
swingin',128
sharing,128
maria,128
confess,127
lipstick,127
heading,127
toy,127
hotter,127
closing,127
drowning,127
souls,127
z,127
biggest,127
ruby,127
washed,126
tricks,126
numb,126
texas,126
mac,126
butterfly,126
laughin',126
score,126
thou,126
ling,126
pum,126
ups,126
nite,126
san,126
yeh,126
tonight's,125
serve,125
worries,125
affection,125
would've,125
temptation,125
diggin',125
flat,125
chillin',125
position,125
fooled,125
stoned,125
carolina,125
master,124
shattered,124
board,124
jumped,124
l.a.,124
[email protected],124
apple,124
paul,124
september,124
tale,124
confusion,123
onto,123
duh,123
seein',123
romeo,123
pulling,123
personal,123
microphone,123
holler,123
enemy,123
awful,123
lemme,123
jay,123
extra,123
prayers,123
again.,123
we’re,123
dinner,122
press,122
using,122
sake,122
heavenly,122
cupid,122
drip,122
blast,122
gritty,122
forgotten,122
shoulders,122
pony,122
doot,122
waking,121
fail,121
babies,121
solid,121
agree,121
[hook],121
2:,121
worlds,121
laying,121
tracks,121
neighbors,121
rider,121
bare,120
dice,120
knee,120
understood,120
rains,120
weep,120
flows,120
liked,120
cheated,120
una,120
clique,120
satisfaction,120
transcribed,120
startin',120
poo,120
sunrise,119
faithful,119
crank,119
tea,119
doll,119
ey,119
discover,119
askin',119
alabama,119
charm,119
como,119
naw,119
spoke,119
halo,118
nervous,118
remains,118
compare,118
smoking,118
bustin',118
por,118
lovin,118
ole,118
reached,118
jean,118
shoop,118
hitch,118
swinging,117
sunlight,117
shopping,117
knowin',117
time.,117
numbers,117
man.,117
hardest,117
else's,117
sock,117
layin',117
material,117
lake,117
showing,116
followed,116
fades,116
offer,116
needle,116
struck,116
that’s,116
plastic,116
stories,116
grip,116
stress,116
accept,116
swore,116
sides,116
uptown,116
rope,116
seek,115
beast,115
saint,115
prayed,115
messed,115
smack,115
meeting,115
avenue,115
doin,115
jammin',115
naturally,115
batter,115
sink,114
grave,114
fashion,114
becomes,114
12,114
grill,114
trigger,114
recognize,114
tan,114
raw,114
crowded,114
proof,114
n',114
woods,114
harm,114
rocked,114
duuh,114
ninety,113
waters,113
wander,113
mission,113
mississippi,113
rebel,113
sleepy,113
from:,113
jackson,112
downs,112
ended,112
aim,111
las,111
months,111
crossed,111
colder,111
camera,111
distant,111
lifted,111
ur,111
aaa,111
40,111
bullshit,111
level,111
thru,111
pot,111
rumour,111
summer's,111
#,111
oooo,111
flag,110
hesitate,110
emotional,110
troubled,110
smilin',110
prayin',110
ballin',110
nerve,110
playa,110
wished,110
finish,110
lace,110
legend,110
seventeen,110
warning,110
rhonda,110
knocked,109
know.,109
kicks,109
halfway,109
sudden,109
wit',109
mo',109
